Administrative_Duration,Informational_Duration,ProductRelated,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0,1,0.2,0.2,0,0,1,1,1,1,0,0,0
0,0,1,0,0.1,0,0,2,2,1,2,0,0,0
0,0,1,0.2,0.2,0,0,4,1,9,3,0,0,0
0,0,1,0.05,0.14,0,0,3,2,2,4,0,0,0
0,0,1,0.02,0.05,0,0,3,3,1,4,0,1,0
0,0,1,0.015789474,0.024561404,0,0,2,2,1,3,0,0,0
0,0,1,0.2,0.2,0,0.4,2,4,3,3,0,0,0
0,0,1,0.2,0.2,0,0,1,2,1,5,0,1,0
0,0,1,0,0.1,0,0.8,2,2,2,3,0,0,0
0,0,1,0,0.022222222,0,0.4,2,4,1,2,0,0,0
0,0,1,0,0.066666667,0,0,1,1,3,3,0,0,0
0,0,1,0.01875,0.025833333,0,0.4,1,1,4,3,0,0,0
0,0,1,0,0.028571429,0,0,1,1,1,3,0,0,0
0,0,1,0,0.066666667,0,0,2,5,1,3,0,0,0
0,0,1,0,0.1,0,0,3,2,3,3,0,0,0
53,0,1,0.008333333,0.016312636,0,0,1,1,9,3,0,0,0
0,0,1,0.2,0.2,0,0,1,1,4,3,0,0,0
0,0,1,0,0.007692308,0,0,1,1,1,4,0,1,0
0,0,1,0,0.1,0,0,2,2,1,3,0,0,0
0,0,1,0,0.01,0,0,2,4,4,4,0,0,0
0,0,1,0,0.008333333,0,1,2,2,5,1,0,1,0
0,0,1,0.2,0.2,0,0,3,3,1,3,0,0,0
0,0,1,0,0.033333333,0,0,3,2,1,5,0,0,0
0,0,1,0,0.1,0,0.8,2,4,1,3,0,0,0
0,0,1,0.2,0.2,0,0,2,2,4,1,0,1,0
0,0,1,0,0.04,0,0,1,1,9,3,0,0,0
64.6,0,1,0.002857143,0.00952381,0,0,2,2,1,3,0,0,0
0,0,1,0.05,0.1,0,0,1,1,1,3,0,0,0
0,0,1,0,0.05,0,0.2,2,6,1,3,0,0,0
6,0,1,0.043478261,0.050821256,54.17976426,0.4,3,2,1,1,0,0,0
0,0,1,0,0.1,0,0,1,1,6,3,0,0,0
0,0,1,0,0.066666667,0,0,1,2,6,6,0,1,0
0,0,1,0,0.025,0,0,2,2,1,1,0,0,0
0,0,1,0.04,0.08,0,0,1,1,3,1,0,0,0
0,0,1,0.014285714,0.028571429,0,0,2,2,1,1,0,0,0
0,0,1,0.015384615,0.020352564,0,0,2,2,7,1,0,0,0
0,0,1,0.025,0.05625,0,0,3,2,1,4,0,1,0
18,0,1,0,0.028571429,0,0.8,2,2,8,4,0,0,0
0,0,1,0.028571429,0.071428571,0,0.6,2,2,1,3,0,0,0
0,0,1,0,0.022222222,0,0,2,5,1,6,0,0,0
9,0,1,0,0.001794872,0,0,2,2,8,4,0,0,0
0,0,1,0,0.066666667,0,0.6,1,1,3,2,0,0,0
0,0,1,0,0.006666667,0,0,1,1,4,4,0,0,0
0,0,1,0,0.05,0,0.4,3,2,2,3,0,0,0
0,0,1,0,0.05,0,0,4,1,1,3,0,0,0
0,0,1,0.003030303,0.006060606,0,0.2,2,5,1,4,0,0,0
0,0,1,0.017142857,0.057142857,0,0,1,1,1,2,0,0,0
0,0,1,0.066666667,0.133333333,0,0.2,3,2,1,3,0,0,0
0,0,1,0,0.003636364,0,0,3,2,1,3,0,0,0
0,0,1,0.2,0.2,0,0.6,2,2,3,2,0,0,0
0,0,1,0.2,0.2,0,0,1,1,3,4,0,1,0
0,0,1,0.011111111,0.026111111,0,0.2,3,2,1,3,0,0,0
0,0,1,0,0.1,0,1,2,4,4,2,0,1,0
0,0,1,0,0.075,0,0,4,2,2,3,0,0,0
0,0,1,0.05,0.025,0,0.4,3,3,1,4,0,0,0
0,0,1,0.2,0.2,0,0.2,2,4,1,3,0,0,0
0,0,1,0.2,0.2,0,0.6,3,2,3,3,0,0,0
56,120,1,0,0.014736467,19.44707913,0.2,2,2,4,1,0,0,0
0,0,1,0,0.05,0,0.4,2,6,6,3,0,0,0
16,0,1,0.011764706,0.046568627,0,0.6,2,4,2,1,0,0,0
0,0,1,0,0.016666667,0,0.4,1,1,3,3,0,0,0
0,0,1,0.05,0.120833333,0,0,1,1,1,3,0,0,0
279.4166667,0,1,0.009,0.019666667,38.30849268,0,1,1,3,2,0,0,0
0,0,1,0,0.007142857,0,0,2,2,5,4,0,1,0
0,0,1,0.2,0.2,0,0,2,2,4,3,0,0,0
87.83333333,0,1,0,0.012643678,22.9160357,0.8,2,2,3,1,0,0,1
44,0,1,0.002150538,0.015013034,0,0,4,1,1,3,0,0,0
0,0,1,0.2,0.2,0,0.6,2,2,5,1,0,0,0
0,0,1,0,0.007407407,0,0,2,7,2,4,0,0,0
0,0,1,0.2,0.2,0,0.2,3,2,3,3,0,0,0
0,0,1,0.2,0.2,0,0,2,6,1,2,0,0,0
0,0,1,0.025,0.0525,0,0,2,6,6,1,0,0,0
0,0,1,0,0.1,0,0.4,2,2,3,3,0,0,0
0,0,1,0,0.0125,0,0,2,4,3,2,0,0,0
0,0,1,0,0.066666667,0,0,2,4,3,3,0,0,0
0,0,1,0,0.025,0,0,2,4,1,1,0,0,0
1005.666667,0,1,0.004347826,0.014492754,11.43941195,0,2,6,1,2,0,0,1
0,0,1,0,0.05,0,0.6,3,2,3,3,0,0,0
0,0,1,0.2,0.2,0,1,1,1,1,3,0,1,0
0,0,1,0.2,0.2,0,0.4,1,1,1,3,0,0,0
0,0,1,0,0.028571429,0,0,4,1,1,5,0,1,0
0,0,1,0,0.016666667,0,0.8,1,1,1,3,0,0,0
0,0,1,0,0.02,0,0,2,2,1,3,0,0,0
